ImageName1,ImageName2,Answer
ali_flux_schnell/001.png,ELLA/001.png,1
ali_flux_schnell/001.png,LlamaGen_256/001.png,1
ali_flux_schnell/001.png,LWM/001.png,1
ali_flux_schnell/001.png,vila-u/001.png,1
DALLE3/001.png,ELLA/001.png,1
DALLE3/001.png,LlamaGen_256/001.png,1
DALLE3/001.png,LWM/001.png,1
DALLE3/001.png,vila-u/001.png,1
EMU3/001.png,ELLA/001.png,1
Infinity/001.png,ELLA/001.png,1
Kandinsky-3/001.png,ELLA/001.png,1
Kolors/001.png,ELLA/001.png,1
LaVi-Bridge/001.png,ELLA/001.png,1
LLMGA/001.png,ELLA/001.png,1
NOVA/001.png,ELLA/001.png,1
omnigen/001.png,ELLA/001.png,1
PixArt-sigma/001.png,ELLA/001.png,1
playground/001.png,ELLA/001.png,1
Show-o/001.png,ELLA/001.png,1
Kandinsky-3/001.png,EMU3/001.png,1
EMU3/001.png,LlamaGen_256/001.png,1
EMU3/001.png,LWM/001.png,1
playground/001.png,EMU3/001.png,1
EMU3/001.png,vila-u/001.png,1
Infinity/001.png,hart/001.png,1
Kandinsky-3/001.png,hart/001.png,1
hart/001.png,LWM/001.png,1
playground/001.png,hart/001.png,1
Show-o/001.png,hart/001.png,2
Kandinsky-3/001.png,i-Code-V3/001.png,1
i-Code-V3/001.png,LWM/001.png,1
playground/001.png,i-Code-V3/001.png,1
Infinity/001.png,Janus/001.png,1
Infinity/001.png,LlamaGen_256/001.png,1
Infinity/001.png,LWM/001.png,1
Infinity/001.png,NOVA/001.png,1
Infinity/001.png,sd_v2-1/001.png,1
Infinity/001.png,seed-xi/001.png,1
Infinity/001.png,vila-u/001.png,1
Kandinsky-3/001.png,Janus/001.png,1
Janus/001.png,LWM/001.png,1
PixArt-sigma/001.png,Janus/001.png,1
playground/001.png,Janus/001.png,1
Show-o/001.png,Janus/001.png,1
Kandinsky-3/001.png,LlamaGen_256/001.png,1
Kandinsky-3/001.png,LWM/001.png,1
Kandinsky-3/001.png,NOVA/001.png,1
Kandinsky-3/001.png,sd_v2-1/001.png,1
Kandinsky-3/001.png,sd3_5_large/001.png,1
Kandinsky-3/001.png,seed-xi/001.png,1
Kandinsky-3/001.png,vila-u/001.png,1
Kolors/001.png,LlamaGen_256/001.png,1
Kolors/001.png,LWM/001.png,1
Kolors/001.png,vila-u/001.png,1
LaVi-Bridge/001.png,LlamaGen_256/001.png,1
LaVi-Bridge/001.png,LWM/001.png,1
LaVi-Bridge/001.png,vila-u/001.png,1
LLMGA/001.png,LlamaGen_256/001.png,1
LlamaGen_256/001.png,LWM/001.png,1
omnigen/001.png,LlamaGen_256/001.png,1
PixArt-sigma/001.png,LlamaGen_256/001.png,1
playground/001.png,LlamaGen_256/001.png,1
Show-o/001.png,LlamaGen_256/001.png,1
LLMGA/001.png,LWM/001.png,1
LLMGA/001.png,vila-u/001.png,1
NOVA/001.png,LWM/001.png,1
omnigen/001.png,LWM/001.png,1
PixArt-sigma/001.png,LWM/001.png,1
playground/001.png,LWM/001.png,1
sd_v2-1/001.png,LWM/001.png,1
sd3_5_large/001.png,LWM/001.png,1
sdxl_base_1/001.png,LWM/001.png,1
seed-xi/001.png,LWM/001.png,1
Show-o/001.png,LWM/001.png,1
